order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
1,2012-04-06 11:32:43,57,57,49.99
2,2012-04-13 01:09:43,74,74,49.99
3,2012-04-15 07:03:48,71,71,49.99
4,2012-04-17 20:00:37,118,118,49.99
5,2012-04-22 20:53:49,116,116,49.99
6,2012-05-04 11:59:07,147,147,49.99
7,2012-05-12 02:41:14,186,186,49.99
8,2012-05-16 13:06:01,191,191,49.99
9,2012-05-24 16:00:09,179,179,49.99
10,2012-05-30 17:20:44,199,199,49.99
11,2012-06-06 14:22:14,271,271,49.99
12,2012-06-10 19:54:47,290,290,49.99
13,2012-06-20 19:13:12,335,335,49.99
14,2012-06-28 18:54:22,382,382,49.99
15,2012-06-29 15:50:01,357,357,49.99
16,2012-07-05 14:24:53,409,409,49.99
17,2012-07-07 07:36:44,368,368,49.99
18,2012-07-07 19:54:28,391,391,49.99
19,2012-07-08 02:59:09,424,424,49.99
20,2012-07-10 14:31:05,393,393,49.99
21,2012-07-11 22:16:10,442,442,49.99
22,2012-07-19 06:57:16,472,472,49.99
23,2012-07-20 13:51:53,470,470,49.99
24,2012-07-21 09:45:01,469,469,49.99
25,2012-07-22 12:53:11,471,471,49.99
26,2012-07-27 18:03:58,468,468,49.99
27,2012-07-29 07:41:18,467,467,49.99
28,2012-07-31 01:43:50,500,500,49.99
29,2012-08-01 13:50:52,501,501,49.99
30,2012-08-06 23:16:41,568,568,49.99
31,2012-08-08 17:45:11,545,545,49.99
32,2012-08-09 17:14:14,558,558,49.99
33,2012-08-12 01:39:11,577,577,49.99
34,2012-08-12 19:26:58,648,648,49.99
35,2012-08-15 03:07:26,669,669,49.99
36,2012-08-16 10:58:58,587,587,49.99
37,2012-08-17 00:42:29,581,581,49.99
38,2012-08-17 00:43:39,584,584,49.99
39,2012-08-18 09:15:40,638,638,49.99
40,2012-08-20 08:19:51,676,676,49.99
41,2012-08-23 12:16:35,717,717,49.99
42,2012-08-24 15:15:48,661,661,49.99
43,2012-08-27 04:21:11,694,694,49.99
44,2012-08-27 14:26:16,668,668,49.99
45,2012-08-29 00:16:18,739,739,49.99
46,2012-08-29 14:11:58,718,718,49.99
47,2012-09-01 10:36:40,780,780,49.99
48,2012-09-03 21:08:59,786,786,49.99
49,2012-09-08 09:52:41,760,760,49.99
50,2012-09-12 12:31:11,844,844,49.99
51,2012-09-13 07:09:10,823,823,49.99
52,2012-09-14 07:45:19,883,883,49.99
53,2012-09-14 09:09:54,818,818,49.99
54,2012-09-14 21:56:14,900,900,49.99
55,2012-09-15 09:00:25,838,838,49.99
56,2012-09-15 19:18:27,807,807,49.99
57,2012-09-18 08:07:59,910,910,49.99
58,2012-09-19 19:57:16,849,849,49.99
59,2012-09-22 17:50:53,988,988,49.99
60,2012-09-24 12:27:05,934,934,49.99
61,2012-09-24 15:13:26,993,993,49.99
62,2012-09-24 20:49:53,950,950,49.99
63,2012-09-25 08:14:53,969,969,49.99
64,2012-09-27 01:07:36,953,953,49.99
65,2012-09-27 04:26:24,905,905,49.99
66,2012-09-29 19:44:05,941,941,49.99
67,2012-09-30 10:29:56,939,939,49.99
68,2012-10-02 19:14:21,1006,1006,49.99
69,2012-10-05 11:06:14,1107,1107,49.99
70,2012-10-05 18:22:42,1069,1069,49.99
71,2012-10-06 00:04:13,984,984,49.99
72,2012-10-06 07:54:10,1021,1021,49.99
73,2012-10-07 01:25:32,1129,1129,49.99
74,2012-10-07 15:51:25,1103,1103,49.99
75,2012-10-08 15:43:52,1036,1036,49.99
76,2012-10-10 10:23:40,1063,1063,49.99
77,2012-10-10 13:15:44,1078,1078,49.99
78,2012-10-10 15:18:51,1056,1056,49.99
79,2012-10-13 21:35:11,1145,1145,49.99
80,2012-10-14 19:15:52,1123,1123,49.99
81,2012-10-17 12:24:18,1226,1226,49.99
82,2012-10-20 13:42:51,1279,1279,49.99
83,2012-10-20 17:49:01,1245,1245,49.99
84,2012-10-21 19:42:47,1271,1271,49.99
85,2012-10-22 11:33:07,1167,1167,49.99
86,2012-10-22 14:28:55,1243,1243,49.99
87,2012-10-23 18:58:17,1318,1318,49.99
88,2012-10-25 04:26:48,1227,1227,49.99
89,2012-10-26 07:25:27,1283,1283,49.99
90,2012-10-28 06:17:14,1222,1222,49.99
91,2012-10-29 00:19:14,1233,1233,49.99
92,2012-11-01 08:02:36,1274,1274,49.99
93,2012-11-01 17:40:26,1426,1426,49.99
94,2012-11-01 18:56:47,1267,1267,49.99
95,2012-11-02 14:46:50,1451,1451,49.99
96,2012-11-03 18:58:54,1445,1445,49.99
97,2012-11-04 06:41:25,1393,1393,49.99
98,2012-11-05 18:35:20,1351,1351,49.99
99,2012-11-06 16:47:45,1324,1324,49.99
100,2012-11-06 17:59:29,1480,1480,49.99
